year,country,image_url,region_code,region,gdp_per_capita,family,social_support,health_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2018,Central African Republic,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,2.0,Africa,0.024,,0.0,0.01,0.305,0.218,0.038
2019,Central African Republic,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,2.0,Africa,0.026,,0.0,0.105,0.225,0.235,0.035
2015,Central African Republic,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,2.0,Africa,0.0785,0.0,,0.06699,0.48879,0.23835,
2015,Chad,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,2.0,Africa,0.34193,0.76062,,0.1501,0.23501,0.18386,
2019,Chad,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,2.0,Africa,0.35,,0.766,0.192,0.174,0.198,0.078
2018,Chad,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,2.0,Africa,0.358,,0.907,0.053,0.189,0.181,0.06
2016,Chad,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,2.0,Africa,0.42214,0.63178,,0.03824,0.12807,0.18667,
2017,Chad,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,2.0,Africa,0.438012987,0.953855872,,0.041134715,0.162342027,0.21611385,
2015,Chile,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,19.0,Americas,1.10715,1.12447,,0.85857,0.44132,0.33363,
2018,Chile,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,19.0,Americas,1.131,,1.331,0.808,0.431,0.197,0.061
2019,Chile,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,19.0,Americas,1.159,,1.369,0.92,0.357,0.187,0.056
2016,Chile,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,19.0,Americas,1.2167,0.90587,,0.81883,0.37789,0.31595,
2017,Chile,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,19.0,Americas,1.25278461,1.284024954,,0.819479704,0.376895279,0.326662421,
2015,China,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,142.0,Asia,0.89012,0.94675,,0.81658,0.51697,0.08185,
2018,China,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,142.0,Asia,0.989,,1.142,0.799,0.597,0.029,0.103
2016,China,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,142.0,Asia,1.0278,0.79381,,0.73561,0.44012,0.04959,
2019,China,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,142.0,Asia,1.029,,1.125,0.893,0.521,0.058,0.1
2017,China,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,142.0,Asia,1.081165791,1.160837412,,0.741415501,0.472787708,0.028806841,
2015,Colombia,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,19.0,Americas,0.91861,1.24018,,0.69077,0.53466,0.18401,
2018,Colombia,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,19.0,Americas,0.96,,1.439,0.635,0.531,0.099,0.039
2019,Colombia,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,19.0,Americas,0.985,,1.41,0.841,0.47,0.099,0.034
2016,Colombia,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,19.0,Americas,1.03032,1.02169,,0.59659,0.44735,0.15626,
2017,Colombia,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,19.0,Americas,1.070622325,1.402182937,,0.595027924,0.477487415,0.149014473,
2015,Comoros,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg,2.0,Africa,0.23906,0.79273,,0.36315,0.22917,0.17441,
2019,Comoros,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg,2.0,Africa,0.274,,0.757,0.505,0.142,0.275,0.078
2016,Comoros,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg,2.0,Africa,0.27509,0.60323,,0.29981,0.15412,0.1827,
2015,Costa Rica,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg,19.0,Americas,0.95578,1.23788,,0.86027,0.63376,0.25497,
2018,Costa Rica,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg,19.0,Americas,1.01,,1.459,0.817,0.632,0.143,0.101
2019,Costa Rica,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg,19.0,Americas,1.034,,1.441,0.963,0.558,0.144,0.093
2016,Costa Rica,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg,19.0,Americas,1.06879,1.02152,,0.76146,0.55225,0.22553,
